standard_type,standard_size,cts_specification,ring_oz_specification,chemical,cooking,incoterms,packing,price,unit,active_date,week,month,quarter,year,month_number,quarter_number
Sú,31/40,6X36,28+8,Treated,Cooked,DDP Atlanta,Ring,15.3,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X36,28+8,Treated,Cooked,DDP LA,Ring,14.9,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X36,28+8,Treated,Cooked,DDP New York,Ring,15.01,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Treated,Cooked,DDP Atlanta,Ring,15.81,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Treated,Cooked,DDP LA,Ring,15.41,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Treated,Cooked,DDP New York,Ring,15.52,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Treated,Cooked,FOB Toronto,Ring,15.41,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Treated,Cooked,FOB Vancouver,Ring,15.08,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X36,28+8,Chemical free,Cooked,FOB Toronto,Ring,16.14,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X36,28+8,Chemical free,Cooked,FOB Vancouver,Ring,15.81,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X36,28+8,Chemical free,Cooked,DDP Atlanta,Ring,16.55,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X36,28+8,Chemical free,Cooked,DDP LA,Ring,16.15,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,6X36,28+8,Chemical free,Cooked,DDP New York,Ring,16.26,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Chemical free,Cooked,DDP Atlanta,Ring,17.19,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Chemical free,Cooked,DDP LA,Ring,16.79,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Chemical free,Cooked,DDP New York,Ring,16.9,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Chemical free,Cooked,FOB Toronto,Ring,16.76,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,6X36,28+8,Chemical free,Cooked,FOB Vancouver,Ring,16.43,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X16,12+4,Treated,Cooked,FOB Toronto,Ring,6.61,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X16,12+4,Treated,Cooked,DDP Atlanta,Ring,6.79,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X16,12+4,Treated,Cooked,DDP New York,Ring,6.61,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
